Amino acids,AbsRelDiff
Cys,0.241472897487162
Ser,0.14223354097007
Gln,0.135024424282417
Trp,0.131223520816959
Leu,0.122779827430262
Phe,0.114242278029784
Asp,0.095768923072276
Glu,0.0891548635472077
Met,0.0856991947454168
Lys,0.0743907359832245
Val,0.0661970217315402
Ile,0.0626070633392912
Thr,0.0539537922422273
His,0.0523183705952621
Gly,0.0487203421665086
Asn,0.0465476418791013
Tyr,0.0230095242671895
Arg,0.0204831342162517
Ala,0.0193473658807289
Pro,0.013410212468411
